"experiment","subject","response","ground_truth","trial","sequence","streak","repetition"
"Exp3",11,"probability",50,16,"[0,1,0,1,0,0,0,0]",4,54
"Exp3",11,"probability",50,17,"[1,1,1,1,1,0,1,0]",1,27
"Exp3",11,"probability",50,18,"[1,1,0,1,1,0,0,1]",1,73
"Exp3",12,"probability",50,1,"[1,1,0,0,1,1,0,1]",1,56
"Exp3",12,"probability",50,2,"[1,1,1,1,1,1,0,1]",1,81
"Exp3",12,"probability",50,3,"[1,1,0,1,1,0,0,1]",1,48
"Exp3",12,"probability",50,4,"[1,0,0,0,0,1,0,1]",1,25
"Exp3",12,"probability",50,5,"[0,1,1,0,1,0,1,0]",1,27
"Exp3",12,"probability",50,6,"[1,0,1,0,1,0,0,0]",3,33
"Exp3",12,"probability",50,7,"[0,1,0,1,0,1,0,1]",1,19
"Exp3",12,"probability",50,8,"[1,0,1,0,0,0,0,0]",5,49
"Exp3",12,"probability",50,9,"[0,1,0,0,0,0,0,1]",1,35
"Exp3",12,"probability",50,10,"[1,0,0,0,0,0,0,1]",1,42
"Exp3",12,"probability",50,11,"[0,1,0,0,1,0,1,1]",2,51
"Exp3",12,"probability",50,12,"[0,0,1,1,1,1,1,1]",6,58
"Exp3",12,"probability",50,13,"[1,1,0,0,0,1,1,0]",1,68
"Exp3",12,"probability",50,14,"[0,1,1,1,0,0,1,0]",1,47
"Exp3",12,"probability",50,15,"[1,1,1,1,1,0,1,0]",1,34
"Exp3",12,"probability",50,16,"[1,0,1,0,1,0,1,0]",1,18
"Exp3",12,"probability",50,17,"[1,0,0,0,0,0,0,0]",7,83
"Exp3",12,"probability",50,18,"[0,0,1,0,1,1,1,1]",4,68
"Exp3",13,"probability",50,1,"[0,1,1,1,0,0,1,0]",1,49
"Exp3",13,"probability",50,2,"[1,1,0,1,1,1,1,1]",5,18
"Exp3",13,"probability",50,3,"[1,0,0,0,0,0,0,0]",7,22
"Exp3",13,"probability",50,4,"[0,1,0,1,1,1,1,0]",1,19
"Exp3",13,"probability",50,5,"[1,1,1,0,1,0,1,0]",1,70
"Exp3",13,"probability",50,6,"[1,0,1,0,1,0,1,1]",2,54
"Exp3",13,"probability",50,7,"[1,0,0,0,1,0,1,0]",1,31
"Exp3",13,"probability",50,8,"[1,0,0,0,0,1,0,1]",1,82
"Exp3",13,"probability",50,9,"[1,1,1,1,1,1,0,1]",1,33
"Exp3",13,"probability",50,10,"[1,1,0,1,1,0,0,1]",1,82
"Exp3",13,"probability",50,11,"[1,1,0,0,1,1,0,1]",1,64
"Exp3",13,"probability",50,12,"[0,1,0,1,0,0,1,0]",1,41
